Score,Armor Class,Armor Name,Weapon Name,Build Name,Subclass Type,Super,Class Ability,Jump,Melee,Grenade,Aspects,Fragment Slots,Fragments,Description
1550,Warlock,"Boots of the Assembler","Lumina","The Legendary Mastery","Solar Warlock","Well of Radiance","Healing Rift","Strafe Glide","Celestial Fire","Solar Grenade","Touch of Flame; Feed the Void",5,"Ember of Solace; Echo of Starvation","Boots of the Assembler synergizes with Lumina by ability: neutral / any. Focus on versatile damage output. Plant your Well to empower allies and provide sanctuary. Your aspects (Touch of Flame + Feed the Void) amplify this synergy. Additional synergies: **GOD ROLL**: Official Synergy: Spawns noble seekers, refilling Lumina., Explicitly names Lumina"
1395,Warlock,"Boots of the Assembler","Lumina","The Lightweaver's Harmony","Prismatic Warlock","Song of Flame","Healing Rift","Strafe Glide","Arcane Needle","Coldsnap Grenade","Bleak Watcher; Weaver's Call",4,"Facet of Purpose; Facet of Dawn; Facet of Courage; Facet of Balance","Boots of the Assembler synergizes with Lumina by ability: neutral / any. Focus on combining Light and Dark abilities for transcendent power. Empower your fireteam with transcendent buffs. Your aspects (Bleak Watcher + Weaver's Call) amplify this synergy. Additional synergies: **GOD ROLL**: Official Synergy: Spawns noble seekers, refilling Lumina., Explicitly names Lumina"
1080,Warlock,"Vesper of Radius","Riskrunner","The Lightning's Cascade","Arc Warlock","Chaos Reach","Healing Rift","Strafe Glide","Ball Lightning","Storm Grenade","Arc Soul; Electrostatic Mind",4,"Spark of Magnitude; Spark of Shock; Spark of Discharge; Spark of Ions","Vesper of Radius synergizes with Riskrunner by arc synergy. Focus on chaining lightning and becoming amplified. Channel arc energy to eliminate high-priority targets. Your aspects (Arc Soul + Electrostatic Mind) amplify this synergy. Additional synergies: Ability: Arc Subclass, **GOD ROLL**: Arc Spark: Riskrunner chain lightning + Vesper rifts = everything jolted."
1070,Warlock,"Phoenix Protocol","Bad Juju","The Solar Flare Fury","Solar Warlock","Well of Radiance","Healing Rift","Strafe Glide","Celestial Fire","Solar Grenade","Touch of Flame; Icarus Dash",4,"Ember of Ashes; Ember of Blistering; Ember of Empyrean; Ember of Solace","Phoenix Protocol synergizes with Bad Juju by ability: well of radiance. Focus on igniting enemies and sustaining through Solar restoration. Plant your Well to empower allies and provide sanctuary. Your aspects (Touch of Flame + Icarus Dash) amplify this synergy. Additional synergies: **GOD ROLL**: Super Spam: Bad Juju kills grant Super; Protocol grants it back., Buffs Pulse Rifle"
1060,Hunter,"Celestial Nighthawk","Still Hunt","The Empyrean Radiance","Solar Hunter","Golden Gun: Marksman","Marksman's Dodge","Triple Jump","Knife Trick","Healing Grenade","Knock 'Em Down; On Your Mark",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Searing","Celestial Nighthawk synergizes with Still Hunt by solar synergy. Focus on igniting enemies and sustaining through Solar restoration. Deliver precision eliminations with enhanced damage. Your aspects (Knock 'Em Down + On Your Mark) amplify this synergy. Additional synergies: Ability: Golden Gun, **GOD ROLL**: God Roll: Still Hunt's Golden Gun shot benefits from Nighthawk's massive damage boost."
1050,Titan,"Helm of Saint-14","Edge of Action","The Nightstalker's Hunger","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Helm of Saint-14 synergizes with Edge of Action by void synergy. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Ability: Sentinel Shield, **GOD ROLL**: Bubble blinds enemies (Saint-14 effect works on glaive bubble)."
1050,Hunter,"Lucky Pants","Malfeasance","The Iron Dominance","Void Hunter","Shadowshot: Deadfall","Marksman's Dodge","Triple Jump","Snare Bomb","Vortex Grenade","Vanishing Step; Stylish Executioner",4,"Echo of Starvation; Echo of Persistence","Lucky Pants synergizes with Malfeasance by ability: neutral / any. Focus on versatile damage output. Tether enemies and suppress their abilities. Your aspects (Vanishing Step + Stylish Executioner) amplify this synergy. Additional synergies: **GOD ROLL**: God Roll: Illegal Holster applies massive damage stacks to Malfeasance shots., Buffs Hand Cannon"
1050,Hunter,"Lucky Pants","The Last Word","The Vanguard's Dominance","Void Hunter","Shadowshot: Deadfall","Marksman's Dodge","Triple Jump","Snare Bomb","Vortex Grenade","Vanishing Step; Stylish Executioner",4,"Echo of Starvation; Echo of Persistence","Lucky Pants synergizes with The Last Word by ability: neutral / any. Focus on versatile damage output. Tether enemies and suppress their abilities. Your aspects (Vanishing Step + Stylish Executioner) amplify this synergy. Additional synergies: **GOD ROLL**: God Roll: Hand Cannon damage boost makes Last Word a DPS monster., Buffs Hand Cannon"
1050,Titan,"Actium War Rig","Sweet Business","The Guardian's Arsenal","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Actium War Rig synergizes with Sweet Business by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: **GOD ROLL**: God Roll: Never stop firing; Actium keeps the drum full constantly., Buffs Auto Rifle"
1050,Titan,"Stronghold","Praxic Blade","The Tactical Dominance","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Stronghold synergizes with Praxic Blade by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: **GOD ROLL**: ABSOLUTE META: Defensive powerhouse using Praxic Blade projectile properties., Buffs Sword"
